customer_tweet_id,customer_created_at,customer_text_clean,support_tweet_id,support_text_clean,exploration_cluster,intent_id,intent_name,should_escalate,label_notes
1859690,2017-10-19 15:40:06+00:00,iPhone still buggy 😫😫😫😫 @,1859688,"If you're having issues, we'd like to help. DM us & tell us more about what's going on & what version of iOS is installed.",11,I14,OTHER_OR_UNCLEAR,YES,Message is too vague to identify the underlying issue.
1070148,2017-10-23 15:05:56+00:00,"IF SOMEONE DOESN'T TELL ME WHY MY PHONE IS AUTOCORRECTING ""IT"" TO ""I.T"" FOR NO REASON STARTING YESTERDAY IM GOING TO BURN SOMETHING.",1070146,We'd like to look into this with you. Send us a DM to get started.,0,I04,KEYBOARD_TEXT_BUG,NO,
2633101,2017-11-17 18:02:13+00:00,Apple Music search is broken on IOS,2633099,You've come to the right place for support with your Apple products. Can you describe the issue you're experiencing? We'd love to help.,8,I07,APPS_AND_MEDIA,NO,
1443137,2017-11-26 03:28:19+00:00,That’s for like sitting at a desk. Can you recommend one for on the go? Like the belkin one?? AirPods are too. Expensive and to have music in my car it still doesn’t solve the problem to listen and charge at the same time.,1443138,"At this time, the Lightning dock is the only supported method for charging and listening to music at the same time without wireless headphones or speakers.",5,I10,WATCH_AUDIO_ACCESSORIES,NO,Accessory/listening recommendation involving AirPods and charging.
2148090,2017-11-08 23:11:39+00:00,CANT EVEN TYPE A DAMN TWEET BECAUSE IT AUTO CORRECTS TO THAT DUMB SHIT,2148089,Here’s what you can do to work around the issue until it’s fixed in a future software update:,9,I04,KEYBOARD_TEXT_BUG,NO,Customer explicitly reports typing/autocorrect problem.
2212878,2017-11-10 03:49:59+00:00,"can you get it together with this glitch?! i’m having to avoid using the word/letter i️* and it ain’t easy! 😡 sincerely, angry customer",2212877,"An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: If you need more help, reach out to us in DM.",15,I04,KEYBOARD_TEXT_BUG,NO,
1909361,2017-10-24 19:29:35+00:00,I recently updated my phone - lost tons of contacts from up to one year ago. #help #devastated #applenews #iphone,1909360,Let’s team up on this situation. Could you let us know more details via a DM? We’ll keep moving forward from there.,16,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Post-update loss of contacts is a serious device/data issue requiring review.
1659188,2017-11-06 03:04:51+00:00,Okay can we fix the letter “eye” now,1659187,Here’s what you can do to work around the issue until it’s fixed in a future software update:,15,I04,KEYBOARD_TEXT_BUG,NO,
2374398,2017-11-14 01:49:19+00:00,10.10.5 Yeosemite.. Going to restart and see what happens,2374396,Let us know what happens with that restart. Had you been able to use iMessage on your Mac previously? Let us know in DM to continue.,0,I11,MAC_ITUNES_DEVELOPER,NO,macOS/Yosemite system issue.
1984542,2017-11-02 01:43:30+00:00,why is all the music I’ve downloaded on Apple Music undownloading itself?,1984541,Music is a part of our lives here at Apple. We want to do all we can to work towards a resolution. Join us in a DM here:,8,I07,APPS_AND_MEDIA,NO,
