customer_tweet_id,customer_created_at,customer_text_clean,support_tweet_id,support_text_clean,exploration_cluster,intent_id,intent_name,should_escalate,label_notes
53534,2017-11-01 18:31:18+00:00,"Since I️ update my phone yesterday, I️ cannot type “I’s”. I’m hurt by ’s constant betrayal to reel me in, just to sabotage in the end.",53533,"We know how important your iPhone is. Send us a DM telling us which iPhone you have, we want to help.",10,I04,KEYBOARD_TEXT_BUG,NO,
96984,2017-11-30 20:53:42+00:00,"It just came out the new iPhone X and the 7 already starts to freeze, the battery quickly go low , etc, always the same",96986,We can help with your iPhone 7. DM us with more details on what is happening.,10,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Freezing and battery issues are described broadly; likely needs troubleshooting.
97035,2017-11-30 15:51:19+00:00,"Messages on my iMac and my wife’s MB have randomly stopped working. No changes, just can’t send or receive anymore.",97032,We'd love to assist you with getting this sorted. Are you receiving any error messages while trying to send messages?,10,I09,CALLS_MESSAGES_NOTIFICATIONS,NO,Messages cannot send/receive on Mac.
274974,2017-11-25 03:01:53+00:00,my phones literally been turning on for 14 hours fix this,274973,We are here for you. Let's take a look at this further for you. Reach out to us in DM.,17,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Phone has been stuck turning on for 14 hours.
311071,2017-10-06 23:47:22+00:00,uh pls help ? Idk what I did thx,311070,We’ve received your DM and will continue there shortly. Thank you for your patience.,7,I14,OTHER_OR_UNCLEAR,YES,No usable description of the issue.
359308,2017-10-08 12:00:51+00:00,my (photo) apps shut themselves all-the-time on my ipad pro. Frustrating!! Can't do my work. What's going on? #ios11,359305,We'd like to see what's happening. Are you referring to the Photos app or a different app?,0,I07,APPS_AND_MEDIA,NO,
399949,2017-10-09 18:06:51+00:00,I did an update on my phone and it’s super sluggish and randomly scrolls after texting. What gives ?,399948,Let's sit down and see what we can find. Here's a link to DM us.,7,I02,DEVICE_PERFORMANCE_AND_STABILITY,NO,Update caused sluggishness/erratic scrolling.
462028,2017-12-01 02:22:20+00:00,please fix this keyboard correction error “I.T” is really annoying 🙂,462026,"We want to help. To start, can you tell us which device and iOS you’re using please?",17,I04,KEYBOARD_TEXT_BUG,NO,
489583,2017-12-01 16:05:18+00:00,please try to fix the heating issue and battery drain issue in ios 11 with an update for 7 plus.,489582,"Let’s look into this together. To be sure we’re on the same page, is your iPhone currently running iOS version 11.1.2? DM your response:",6,I03,BATTERY_CHARGING,NO,Battery drain is primary; heating is secondary.
489695,2017-12-01 15:26:18+00:00,I got it sorted by talking to someone via your chat facility. I am very pleased iCloud exists and works properly! Thank you :),489694,That's great news. We're happy to know that you were able to locate your photos. Enjoy your day.,12,I14,OTHER_OR_UNCLEAR,NO,Resolved through chat and expresses satisfaction.
522999,2017-12-02 04:32:35+00:00,Battery is also draining like a hell. Plzzz tell me wat to do,523002,We're happy to help! Please check out for help. If you need to update the iOS be sure to create a backup before beginning. DM us if you have additional questions.,5,I03,BATTERY_CHARGING,NO,
541178,2017-12-02 06:27:06+00:00,#ios1112 has left new #iPhone8 useless. Keeps going back to home screen. Any ideas on next update?,541176,We've released an update that should help with this issue. Check out this article: Let us know if this helps!,0,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Repeatedly returns to home screen after update.
563073,2017-12-02 23:16:19+00:00,"This is a prank, right ??? Touch ID is incorrect! Did my fingerprint change overnight??? 🤔",563072,"We would love to help! Please take a look at this article, which details steps to take if your Touch ID is not performing as expected:",7,I05,SCREEN_TOUCH_DISPLAY,YES,Touch ID/biometric sensor issue is device-specific and needs human troubleshooting.
582704,2017-12-03 07:49:48+00:00,you’re Apple maps is really really bad to say the least! It gave me wrong directions! I’ve been an IPod and iPhone user since the beginning and now I’m thinking of changing my IPhone to Google phone 😡,582703,"Having the correct directions is a must so that you don't get lost. We're here for you on this one. Send us a DM, and include your iOS version, so that we can take a look into this with you.",11,I07,APPS_AND_MEDIA,NO,Apple Maps navigation issue.
590891,2017-12-03 16:59:33+00:00,Thank you! Should this work?,590893,That's a great option to connect your HDMI display. It is compatible.,12,I13,HOW_TO_OR_FEATURE,NO,Asks whether suggested troubleshooting should work.
617139,2017-11-22 08:09:08+00:00,thank you for the software update which seems to have ruined my phone.,617137,"We’d like to look into this. To get started, please DM us about the issues you've been experiencing and the current software version.",12,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Broad statement that update ruined the phone; specifics are missing.
655227,2017-10-05 03:31:14+00:00,"iOS 11.1 beta 👎 The battery lasts nothing is very bad this beta, solve the problem now",655226,We'd be happy to look into your battery performance. Send us a DM and we'll go from there.,4,I03,BATTERY_CHARGING,NO,Battery performance complaint.
