customer_tweet_id,customer_created_at,customer_text_clean,support_tweet_id,support_text_clean,exploration_cluster,intent_id,intent_name,should_escalate,label_notes
9250,2017-11-02 10:34:16+00:00,Your new update won’t let me type the letter “I️” without a weird character coming up,1437525,We'd like to assist as best we can. DM us and we'll see what we can do to assist.,15,I04,KEYBOARD_TEXT_BUG,NO,Update causing letter-I text corruption.
13947,2017-11-01 02:11:04+00:00,Thank you so much for your help.,13946,You're quite welcome!,12,I14,OTHER_OR_UNCLEAR,NO,Thank-you/resolved message; no escalation.
31422,2017-11-01 03:44:45+00:00,"Bro I have never seen my phone crash so much 😒, it’s pissing me off , fuck IOS 11",31421,That is not the experience we want you to have. Which iPhone model do you have? Let us know in DM.,4,I02,DEVICE_PERFORMANCE_AND_STABILITY,NO,Frequent crashes linked to iOS 11.
32439,2017-11-01 04:08:49+00:00,So it’s not only my shit doing this right ??,32438,Thanks for bringing this to our attention. Click here to connect with us in DM. We'll pick up there:,9,I14,OTHER_OR_UNCLEAR,YES,Customer refers to an unspecified issue.
38651,2017-11-22 19:24:09+00:00,hello when i hit the lil music square in ios whatever the fuck this is WHY DOESNT IT TAKE ME TO THE MUSIC APP LIKE I’D LIKE IT TO???,38650,"Thanks for reaching out. We'd like some details to assist. Is the Music app not opening at all, or are you getting an error? Also, are you an Apple Music member? Let us know in DM and we'll continue.",5,I07,APPS_AND_MEDIA,NO,
43197,2017-11-22 20:23:34+00:00,"Apple can I have the option back for auto brightness, would be fab since my battery is atrocious anyway 👍🏻",43196,"Auto-Brightness is still available, it's just moved to Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Also, if you're having issues with your battery, meet us in DM with some details, tell us which country you're in, and we'll take a look with you.",8,I13,HOW_TO_OR_FEATURE,NO,Explicit feature/settings request for Auto-Brightness.
84293,2017-11-30 05:44:09+00:00,"How did #Apple get this so wrong, 40K for an 27inch 5K retina iMac that does this on a 100mb photoshop file. my 8 year old 17inch iMac works better.",84292,We'd like to look into this with you. Please DM us the macOS version installed and details of when this issue occurs. Are only certain apps in use?,7,I11,MAC_ITUNES_DEVELOPER,NO,iMac performance issue.
96955,2017-11-28 14:28:11+00:00,Hello I founded an opening in your website how I can report it?,2893399,Send us a DM with more details. Let us also know the country you're in please.,19,I14,OTHER_OR_UNCLEAR,YES,Website issue is underspecified; needs more details.
110929,2017-11-23 20:19:49+00:00,"If you were previously subscribed to Apple Music, but not anymore. Deactivate Apple Music even in iTunes on your computer and there is no music from Apple Music from that moment. Now all the music that I have is purchased from iTunes",110931,"If you previously had Apple Music, the songs you have issue with may have been matched against the Apple Music Library and are removed from your device and treated as Apple Music tracks. It may be necessary to sync your music again from iTunes. Meet us in DM to proceed.",8,I07,APPS_AND_MEDIA,NO,Apple Music subscription/library behavior.
187429,2017-10-03 22:18:50+00:00,"Any device. It's my iCloud email account. I would like to set up a rule to block and email address. Thus far, it can just be sent 2 trash.",187428,Let's look at this article on iCloud email:,5,I13,HOW_TO_OR_FEATURE,NO,Asks how to set an iCloud Mail rule.
236420,2017-10-02 20:22:42+00:00,Yup and I've even turned the iPad off and back on again. It was working fine before the iOS update,236419,What happens when you launch the app? Will the app start up at all?,3,I07,APPS_AND_MEDIA,NO,App/iPad issue; context suggests an app problem.
302971,2017-11-25 03:22:25+00:00,"What happens if I gift someone a film in iTunes Store to their iTunes login email address, but they already own the film?",302970,We'd be happy to look into this with you! Contact our iTunes team here: They should be able to assist!,19,I11,MAC_ITUNES_DEVELOPER,NO,Explicit iTunes Store question.
310250,2017-10-06 23:19:16+00:00,I need some help with my beats headphones. Can I take them into an apple store for an exchange if they stopped working,310248,We can save you a trip! Please DM us to continue.,13,I10,WATCH_AUDIO_ACCESSORIES,YES,Accessory exchange is a case-specific service request.
312181,2017-10-07 00:52:49+00:00,This iOS 11 update is shit. Fix this,312180,We're happy to help you with this. Join us in DM so we may better assist you:,4,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Generic update complaint without a specific symptom.
322336,2017-10-07 05:19:20+00:00,iOS 11.0.2! Phone no longer fit for purpose. Doctor on call!,322333,We're here to help. Can you provide us more details on what is taking place with your device?,4,I02,DEVICE_PERFORMANCE_AND_STABILITY,YES,Device described as unusable after iOS 11; severe failure.
363727,2017-10-08 03:25:06+00:00,my phone 7 won’t allow me to make calls or reaceve calls on the latest update for some reason,363725,We're happy to help. What exactly is the problem with making and receiving calls? What troubleshooting have you tried so far?,3,I09,CALLS_MESSAGES_NOTIFICATIONS,NO,Cannot make or receive calls.
382552,2017-11-15 20:30:29+00:00,"Ok, updated to the latest version. Issue still occurring :(",382551,Thanks for following up. Send us a DM so we can continue to work with you there.,6,I14,OTHER_OR_UNCLEAR,YES,Says issue persists but omits which issue.
396122,2017-10-09 18:18:57+00:00,It freezes a lot and then resprings. Battery life also an issue event after switching off all that I can,396125,Send us a DM and we'll go form there.,2,I02,DEVICE_PERFORMANCE_AND_STABILITY,NO,"Freezing/respringing is primary, battery secondary."
414991,2017-10-07 11:39:58+00:00,dear sir my battery become too weak after the last update i have 6sPlus please i need to fix that problem,414990,We'd like to help. Are you experiencing this issue on the latest version of iOS 11.0.2?,14,I03,BATTERY_CHARGING,NO,
